exerciseId,gender,bracket,iron,bronze,silver,gold,platinum,diamond,titanium,mythic
bench-press-barbell,male,114-,60,75,90,110,130,155,180,245
bench-press-barbell,male,115-129,65,80,100,120,145,170,195,265
bench-press-barbell,male,130-144,80,100,120,140,165,190,220,295
bench-press-barbell,male,145–159,95,115,135,160,185,215,245,320
bench-press-barbell,male,160-174,110,130,155,180,205,235,265,350
bench-press-barbell,male,175-189,125,145,170,195,225,255,290,375
bench-press-barbell,male,190-204,135,160,185,215,245,275,310,395
bench-press-barbell,male,205-219,150,175,200,230,265,295,330,420
bench-press-barbell,male,220-234,160,190,215,245,275,310,350,440
bench-press-barbell,male,235-249,175,200,230,260,295,330,365,465
bench-press-barbell,male,250+,180,210,235,270,300,340,375,475
bench-press-barbell,female,114-,30,40,55,75,90,110,135,195
bench-press-barbell,female,115-129,35,45,60,80,95,120,140,200
bench-press-barbell,female,130-144,40,55,70,85,105,130,155,215
bench-press-barbell,female,145-159,45,60,75,95,115,140,165,230
bench-press-barbell,female,160-174,50,65,85,105,125,150,175,245
bench-press-barbell,female,175-189,55,70,90,110,135,160,185,255
bench-press-barbell,female,190-204,60,80,95,120,140,170,195,270
bench-press-barbell,female,205-219,65,85,105,125,150,175,205,280
bench-press-barbell,female,220-234,70,90,110,130,155,185,215,290
bench-press-barbell,female,235-249,75,95,115,140,165,190,220,300
bench-press-barbell,female,250+,80,100,120,140,170,195,225,305
squat-barbell,male,114-,80,100,120,150,175,205,240,325
squat-barbell,male,115-129,90,110,135,160,190,225,260,345
squat-barbell,male,130-144,110,135,160,190,220,255,290,385
squat-barbell,male,145-159,130,155,180,215,245,285,320,420
squat-barbell,male,160-174,150,175,205,235,270,310,350,455
squat-barbell,male,175-189,165,195,225,260,295,335,380,485
squat-barbell,male,190-204,185,215,245,280,320,360,405,520
squat-barbell,male,205-219,200,230,265,305,340,385,430,545
squat-barbell,male,220-234,215,250,285,325,365,410,455,575
squat-barbell,male,235-249,235,265,305,345,385,430,475,600
squat-barbell,male,250+,240,275,310,355,395,440,490,615
squat-barbell,female,114-,55,70,90,115,140,165,195,270
squat-barbell,female,115-129,60,75,95,120,145,175,205,280
squat-barbell,female,130-144,70,85,105,130,160,190,220,300
squat-barbell,female,145-159,75,95,115,145,170,200,235,320
squat-barbell,female,160-174,85,105,125,155,180,215,245,335
squat-barbell,female,175-189,90,110,135,165,190,225,260,350
squat-barbell,female,190-204,95,120,145,170,200,235,270,360
squat-barbell,female,205-219,105,125,150,180,210,245,280,375
squat-barbell,female,220-234,110,135,160,190,220,255,290,385
squat-barbell,female,235-249,115,140,165,195,230,265,300,400
squat-barbell,female,250+,120,145,170,200,235,270,305,405
deadlift-barbell,male,114-,105,125,150,180,215,250,285,380
deadlift-barbell,male,115-129,115,140,165,200,230,265,305,405
deadlift-barbell,male,130-144,135,165,195,225,260,300,340,445
deadlift-barbell,male,145-159,160,185,220,255,290,330,375,485
deadlift-barbell,male,160-174,180,210,240,280,320,360,405,520
deadlift-barbell,male,175-189,200,230,265,305,345,390,435,555
deadlift-barbell,male,190-204,215,250,285,325,370,415,465,590
deadlift-barbell,male,205-219,235,270,310,350,395,440,490,620
deadlift-barbell,male,220-234,255,290,330,370,415,465,515,650
deadlift-barbell,male,235-249,270,310,350,395,440,490,540,680
deadlift-barbell,male,250+,280,320,360,405,450,500,555,695
deadlift-barbell,female,114-,70,90,110,140,165,195,230,315
deadlift-barbell,female,115-129,75,95,120,145,175,205,240,325
deadlift-barbell,female,130-144,85,105,130,160,185,220,255,345
deadlift-barbell,female,145-159,95,115,140,170,200,235,270,360
deadlift-barbell,female,160-174,100,125,150,180,210,245,285,380
deadlift-barbell,female,175-189,110,135,160,190,225,260,295,395
deadlift-barbell,female,190-204,115,140,170,200,235,270,310,410
deadlift-barbell,female,205-219,125,150,180,210,245,280,320,420
deadlift-barbell,female,220-234,130,160,185,220,255,290,330,435
deadlift-barbell,female,235-249,140,165,195,225,260,300,340,445
deadlift-barbell,female,250+,140,170,200,230,265,305,345,455
shoulder-press-barbell,male,114-,35,45,60,70,85,105,125,170
shoulder-press-barbell,male,115-129,40,50,65,80,95,115,130,180
shoulder-press-barbell,male,130-144,50,60,75,90,110,130,150,200
shoulder-press-barbell,male,145-159,60,70,85,105,120,140,165,215
shoulder-press-barbell,male,160-174,70,80,100,115,135,155,180,235
shoulder-press-barbell,male,175-189,75,90,110,125,145,170,190,250
shoulder-press-barbell,male,190-204,85,100,120,140,160,180,205,265
shoulder-press-barbell,male,205-219,95,110,130,150,170,195,220,280
shoulder-press-barbell,male,220-234,100,120,135,160,180,205,230,295
shoulder-press-barbell,male,235-249,110,125,145,170,190,215,240,310
shoulder-press-barbell,male,250+,115,130,150,175,195,220,250,315
shoulder-press-barbell,female,114-,25,30,40,50,65,75,90,130
shoulder-press-barbell,female,115-129,25,35,45,55,65,80,95,135
shoulder-press-barbell,female,130-144,30,40,50,60,75,85,105,145
shoulder-press-barbell,female,145-159,35,40,50,65,80,95,110,150
shoulder-press-barbell,female,160-174,35,45,55,70,85,100,115,160
shoulder-press-barbell,female,175-189,40,50,60,75,90,105,120,165
shoulder-press-barbell,female,190-204,40,50,65,80,95,110,125,170
shoulder-press-barbell,female,205-219,45,55,70,80,95,115,130,175
shoulder-press-barbell,female,220-234,50,60,70,85,100,120,135,185
shoulder-press-barbell,female,235-249,50,60,75,90,105,120,140,190
shoulder-press-barbell,female,250+,50,65,75,90,105,125,145,190
incline-bench-press-barbell,male,114-,55,65,80,95,115,135,155,210
incline-bench-press-barbell,male,115-129,60,75,90,105,125,145,170,225
incline-bench-press-barbell,male,130-144,75,90,105,125,145,170,190,255
incline-bench-press-barbell,male,145-159,90,105,125,145,165,190,215,280
incline-bench-press-barbell,male,160-174,105,120,140,160,185,210,235,305
incline-bench-press-barbell,male,175-189,115,135,155,180,200,230,255,330
incline-bench-press-barbell,male,190-204,130,150,170,195,220,245,275,350
incline-bench-press-barbell,male,205-219,140,165,185,210,235,265,295,370
incline-bench-press-barbell,male,220-234,155,175,200,225,250,280,310,390
incline-bench-press-barbell,male,235-249,165,190,215,240,270,300,330,410
incline-bench-press-barbell,male,250+,175,195,220,245,275,305,340,420
incline-bench-press-barbell,female,114-,20,30,45,60,75,95,115,170
incline-bench-press-barbell,female,115-129,25,35,50,65,80,100,125,180
incline-bench-press-barbell,female,130-144,30,40,55,75,90,115,135,195
incline-bench-press-barbell,female,145-159,35,50,65,80,100,125,145,210
incline-bench-press-barbell,female,160-174,40,55,70,90,110,135,160,225
incline-bench-press-barbell,female,175-189,45,60,75,95,120,140,170,235
incline-bench-press-barbell,female,190-204,50,65,85,105,125,150,180,245
incline-bench-press-barbell,female,205-219,55,70,90,110,135,160,185,255
incline-bench-press-barbell,female,220-234,60,80,95,120,140,165,195,270
incline-bench-press-barbell,female,235-249,65,80,100,125,150,175,205,275
incline-bench-press-barbell,female,250+,70,85,105,125,150,180,210,280
bicep-curl-barbell,male,114-,20,30,40,55,70,85,105,150
bicep-curl-barbell,male,115-129,25,35,45,60,75,95,110,160
bicep-curl-barbell,male,130-144,30,40,55,70,85,105,125,175
bicep-curl-barbell,male,145-159,35,45,60,75,95,115,135,185
bicep-curl-barbell,male,160-174,40,55,65,85,100,120,145,200
bicep-curl-barbell,male,175-189,45,60,75,90,110,130,155,210
bicep-curl-barbell,male,190-204,50,65,80,100,115,140,160,220
bicep-curl-barbell,male,205-219,55,70,85,105,125,145,170,230
bicep-curl-barbell,male,220-234,60,75,90,110,130,155,180,240
bicep-curl-barbell,male,235-249,65,80,95,115,140,160,185,250
bicep-curl-barbell,male,250+,65,85,100,120,140,165,190,255
bicep-curl-barbell,female,114-,10,20,25,35,45,60,75,110
bicep-curl-barbell,female,115-129,15,20,30,40,50,60,75,115
bicep-curl-barbell,female,130-144,15,20,30,40,55,70,85,120
bicep-curl-barbell,female,145-159,20,25,35,45,60,70,90,130
bicep-curl-barbell,female,160-174,20,30,35,50,60,75,95,135
bicep-curl-barbell,female,175-189,20,30,40,50,65,80,95,140
bicep-curl-barbell,female,190-204,25,35,45,55,70,85,100,145
bicep-curl-barbell,female,205-219,25,35,45,60,75,90,105,150
bicep-curl-barbell,female,220-234,30,35,50,60,75,90,110,155
bicep-curl-barbell,female,235-249,30,40,50,65,80,95,115,160
bicep-curl-barbell,female,250+,30,40,50,65,80,95,115,160
bent-over-row-barbell,male,114-,50,65,80,100,120,140,165,225
bent-over-row-barbell,male,115-129,55,70,90,105,130,150,175,240
bent-over-row-barbell,male,130-144,70,85,105,125,145,170,195,265
bent-over-row-barbell,male,145-159,80,100,120,140,165,190,215,290
bent-over-row-barbell,male,160-174,95,110,130,155,180,205,235,310
bent-over-row-barbell,male,175-189,105,125,145,170,195,225,255,330
bent-over-row-barbell,male,190-204,115,135,160,185,210,240,270,350
bent-over-row-barbell,male,205-219,125,150,170,200,225,255,290,370
bent-over-row-barbell,male,220-234,135,160,185,210,240,270,305,390
bent-over-row-barbell,male,235-249,145,170,195,225,255,285,320,405
bent-over-row-barbell,male,250+,155,175,200,230,260,295,325,415
bent-over-row-barbell,female,114-,30,40,50,65,80,100,120,165
bent-over-row-barbell,female,115-129,30,40,55,70,85,100,120,170
bent-over-row-barbell,female,130-144,35,45,60,75,90,110,130,175
bent-over-row-barbell,female,145-159,40,50,60,80,95,115,135,185
bent-over-row-barbell,female,160-174,40,55,65,80,100,120,140,190
bent-over-row-barbell,female,175-189,45,55,70,85,105,125,145,200
bent-over-row-barbell,female,190-204,45,60,75,90,110,130,150,205
bent-over-row-barbell,female,205-219,50,60,75,95,110,130,155,210
bent-over-row-barbell,female,220-234,50,65,80,95,115,135,160,215
bent-over-row-barbell,female,235-249,55,65,80,100,120,140,160,220
bent-over-row-barbell,female,250+,55,70,85,100,120,140,165,220
hip-thrust-barbell,male,114-,40,65,90,130,170,225,275,420
hip-thrust-barbell,male,115-129,45,75,105,145,190,245,300,450
hip-thrust-barbell,male,130-144,65,95,130,175,225,280,345,505
hip-thrust-barbell,male,145-159,80,115,155,205,255,320,385,555
hip-thrust-barbell,male,160-174,100,140,180,230,285,355,420,600
hip-thrust-barbell,male,175-189,115,160,200,260,315,385,455,645
hip-thrust-barbell,male,190-204,135,180,225,285,345,420,490,685
hip-thrust-barbell,male,205-219,155,200,250,310,375,450,525,725
hip-thrust-barbell,male,220-234,170,220,270,335,400,480,555,765
hip-thrust-barbell,male,235-249,185,240,290,360,425,505,590,800
hip-thrust-barbell,male,250+,195,250,305,370,440,520,605,820
hip-thrust-barbell,female,114-,60,85,115,150,190,235,285,415
hip-thrust-barbell,female,115-129,60,90,120,155,195,245,295,425
hip-thrust-barbell,female,130-144,70,95,125,165,205,255,305,440
hip-thrust-barbell,female,145-159,75,105,135,175,215,265,320,455
hip-thrust-barbell,female,160-174,80,110,140,185,225,275,330,470
hip-thrust-barbell,female,175-189,85,115,150,190,235,285,340,480
hip-thrust-barbell,female,190-204,90,120,155,200,245,295,350,495
hip-thrust-barbell,female,205-219,95,125,160,205,250,305,360,505
hip-thrust-barbell,female,220-234,100,130,165,210,255,310,370,515
hip-thrust-barbell,female,235-249,105,135,170,215,265,320,375,525
hip-thrust-barbell,female,250+,105,140,175,220,270,325,380,530
lat-pulldown-machine,male,114-,60,75,90,110,130,155,185,250
lat-pulldown-machine,male,115-129,65,80,95,120,140,165,190,260
lat-pulldown-machine,male,130-144,70,90,110,130,155,180,210,280
lat-pulldown-machine,male,145-159,80,100,120,140,165,195,220,295
lat-pulldown-machine,male,160-174,90,110,130,155,180,205,235,315
lat-pulldown-machine,male,175-189,95,115,140,165,190,220,250,330
lat-pulldown-machine,male,190-204,105,125,145,175,200,230,260,340
lat-pulldown-machine,male,205-219,110,135,155,180,210,240,275,355
lat-pulldown-machine,male,220-234,120,140,165,190,220,250,285,370
lat-pulldown-machine,male,235-249,125,150,170,200,230,260,295,380
lat-pulldown-machine,male,250+,130,150,175,205,235,265,300,385
lat-pulldown-machine,female,114-,40,50,60,75,90,110,130,175
lat-pulldown-machine,female,115-129,40,50,65,80,95,115,130,180
lat-pulldown-machine,female,130-144,45,55,70,85,100,120,135,185
lat-pulldown-machine,female,145-159,45,60,70,85,105,125,145,195
lat-pulldown-machine,female,160-174,50,60,75,90,110,130,150,200
lat-pulldown-machine,female,175-189,50,65,80,95,115,130,155,205
lat-pulldown-machine,female,190-204,55,70,80,100,115,135,155,210
lat-pulldown-machine,female,205-219,55,70,85,100,120,140,160,215
lat-pulldown-machine,female,220-234,60,70,85,105,125,145,165,220
lat-pulldown-machine,female,235-249,60,75,90,105,125,145,170,225
lat-pulldown-machine,female,250+,60,75,90,110,130,150,170,225
romanian-deadlift-barbell,male,114-,70,90,110,140,170,200,235,330
romanian-deadlift-barbell,male,115-129,75,100,125,150,180,215,255,350
romanian-deadlift-barbell,male,130-144,95,120,145,175,210,245,285,385
romanian-deadlift-barbell,male,145-159,110,135,165,195,230,270,310,420
romanian-deadlift-barbell,male,160-174,125,155,185,220,255,295,340,450
romanian-deadlift-barbell,male,175-189,140,170,200,240,275,320,365,480
romanian-deadlift-barbell,male,190-204,155,190,220,260,300,345,390,510
romanian-deadlift-barbell,male,205-219,170,205,240,280,320,365,410,535
romanian-deadlift-barbell,male,220-234,185,220,255,295,340,385,435,565
romanian-deadlift-barbell,male,235-249,200,235,270,315,360,405,455,585
romanian-deadlift-barbell,male,250+,210,245,280,325,365,415,465,600
romanian-deadlift-barbell,female,114-,55,75,90,110,130,155,185,250
romanian-deadlift-barbell,female,115-129,60,75,95,115,135,160,190,255
romanian-deadlift-barbell,female,130-144,65,80,100,120,145,170,200,270
romanian-deadlift-barbell,female,145-159,70,85,105,130,150,180,205,280
romanian-deadlift-barbell,female,160-174,75,95,110,135,160,185,215,290
romanian-deadlift-barbell,female,175-189,80,95,115,140,165,195,225,300
romanian-deadlift-barbell,female,190-204,85,100,120,145,170,200,230,305
romanian-deadlift-barbell,female,205-219,85,105,125,150,175,205,235,315
romanian-deadlift-barbell,female,220-234,90,110,130,155,185,210,240,320
romanian-deadlift-barbell,female,235-249,95,115,135,160,190,215,250,330
romanian-deadlift-barbell,female,250+,95,115,140,165,190,220,250,330
bench-press-dumbbell,male,114-,20,30,35,50,60,75,90,125
bench-press-dumbbell,male,115-129,25,30,40,50,65,80,95,135
bench-press-dumbbell,male,130-144,30,35,45,60,75,90,105,145
bench-press-dumbbell,male,145-159,35,40,55,65,80,95,115,160
bench-press-dumbbell,male,160-174,35,50,60,75,90,105,125,170
bench-press-dumbbell,male,175-189,40,55,65,80,95,115,130,180
bench-press-dumbbell,male,190-204,45,60,70,85,105,120,140,190
bench-press-dumbbell,male,205-219,50,65,75,95,110,130,150,200
bench-press-dumbbell,male,220-234,55,70,80,100,115,135,155,205
bench-press-dumbbell,male,235-249,60,75,85,105,120,140,160,215
bench-press-dumbbell,male,250+,60,75,90,105,125,145,165,220
bench-press-dumbbell,female,114-,10,15,20,30,40,50,60,90
bench-press-dumbbell,female,115-129,10,15,25,30,40,50,65,95
bench-press-dumbbell,female,130-144,15,20,25,35,45,55,70,100
bench-press-dumbbell,female,145-159,15,20,30,40,50,60,75,105
bench-press-dumbbell,female,160-174,20,25,30,40,55,65,80,110
bench-press-dumbbell,female,175-189,20,25,35,45,55,70,85,120
bench-press-dumbbell,female,190-204,20,30,40,50,60,75,85,120
bench-press-dumbbell,female,205-219,25,30,40,50,65,75,90,125
bench-press-dumbbell,female,220-234,25,35,45,55,65,80,95,130
bench-press-dumbbell,female,235-249,25,35,45,55,70,85,100,135
bench-press-dumbbell,female,250+,30,35,45,55,70,85,100,140
shoulder-press-dumbbell,male,114-,15,20,25,35,45,50,65,90
shoulder-press-dumbbell,male,115-129,15,25,30,40,45,55,70,95
shoulder-press-dumbbell,male,130-144,20,30,35,45,55,65,75,105
shoulder-press-dumbbell,male,145-159,25,35,40,50,60,75,85,120
shoulder-press-dumbbell,male,160-174,30,40,45,55,70,80,95,125
shoulder-press-dumbbell,male,175-189,35,45,50,65,75,90,100,135
shoulder-press-dumbbell,male,190-204,40,50,60,70,80,95,110,145
shoulder-press-dumbbell,male,205-219,45,50,65,75,85,100,115,155
shoulder-press-dumbbell,male,220-234,50,55,70,80,95,105,125,160
shoulder-press-dumbbell,male,235-249,50,60,75,85,100,115,130,170
shoulder-press-dumbbell,male,250+,55,65,75,90,100,115,135,175
shoulder-press-dumbbell,female,114-,10,15,20,25,30,35,45,60
shoulder-press-dumbbell,female,115-129,10,15,20,25,30,40,45,65
shoulder-press-dumbbell,female,130-144,15,20,25,30,35,40,50,70
shoulder-press-dumbbell,female,145-159,15,20,25,30,40,45,55,75
shoulder-press-dumbbell,female,160-174,20,20,30,35,40,50,55,80
shoulder-press-dumbbell,female,175-189,20,25,30,35,45,50,60,80
shoulder-press-dumbbell,female,190-204,20,25,30,40,45,55,65,85
shoulder-press-dumbbell,female,205-219,25,30,35,40,50,55,65,90
shoulder-press-dumbbell,female,220-234,25,30,35,45,50,60,70,90
shoulder-press-dumbbell,female,235-249,25,30,40,45,55,60,70,95
shoulder-press-dumbbell,female,250+,25,30,40,45,55,60,70,95